Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012879|Магазин «Гастроном» (г. Ялта, пгт. Массандра, ул. Винодела Егорова, 24)|195,96|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9202001405|Магазин «Гераклея» (г. Севастополь, ул. Новикова, 5а)|1000,83|429,60|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9105014409|Магазин «Градус» (пгт. Нижнегорский, ул. Победы, 38)|23,71|0,79|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300049329|Магазин «Диамант» (г. Ялта, ул . Гоголя, 1)|1440,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102038426|Магазин «ДМ» (г. Симферополь, ул. Киевская, 7а)|99,82|137,01|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910208446758|Магазин «Домашний магазин» (г. Симферополь, ул. Дыбенко, 8)|147,41|374,43|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500088861|Магазин «Домашний» (г. Джанкой, ул. Кутузова/пер. Днепропетровский, 85/1)|292,14|272,80|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920353651558|Магазин «Домашний» (г. Севастополь, ул. Руднева, 26)|226,82|383,60|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102057676|Магазин «Домкниги» (г. Ялта, ул. Московская, 9А)|218,59|188,50|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910301313382|Магазин «Дукат» (г. Ялта, пгт. Массандра, ул. Винодела Егорова, 21)|176,91|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910301313382|Магазин «Дукат» (г. Ялта, ул. Ломоносова, 45Б)|123,47|150,77|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010350|Магазин «Дукат» (г. Алупка, ул. Розы Люксембург, 18)|30,42|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010350|Магазин «Дукат» (г. Ялта, пгт. Симеиз, ул. Академика Ганского, 23)|153,93|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010350|Магазин «Дукат» (г. Ялта, ул. Кирова, 65/2)|407,82|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010350|Магазин «Дукат» (г. Ялта, ул. Курчатова, 12)|379,59|291,95|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103010350|Магазин «Дукат» (г. Ялта, ул. Строителей, 6)|631,85|1564,73|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016323338|Магазин «Евпаторийские колбасы» (г. Евпатория, ул. Интернациональная/пр. Победы)|451,77|573,09|0,00|
